city,type,squareMeters,rooms,floor,floorCount,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,building_age,nearset_poi_distance,poi_sum_distance,rooms_per_m2
szczecin,blockOfFlats,57.7,4.0,2.0,3.0,53.4529578,14.47325005,6.68,2.0,0.548,2.481,0.672,0.825,0.155,3.989,0.16,True,False,False,False,False,610000,23.0,0.155,4.841,0.06932409012131716
szczecin,blockOfFlats,30.2,1.0,3.0,6.0,53.41485673,14.54063414,1.65,5.0,0.385,0.838,0.555,0.154,0.166,0.815,0.198,False,False,True,False,False,445000,6.0,0.154,2.296,0.033112582781456956
szczecin,apartmentBuilding,76.6,3.0,1.0,2.0,53.49572043,14.59880447,8.42,0.0,0.686,1.563,0.921,0.658,0.908,3.913,0.906,True,True,False,False,False,899000,7.0,0.658,5.6419999999999995,0.0391644908616188
szczecin,blockOfFlats,30.2,2.0,1.0,3.0,53.447378,14.565296,2.68,6.0,0.265,0.706,0.498,0.209,0.503,1.912,0.537,False,False,False,False,True,389000,53.0,0.209,2.718,0.06622516556291391
szczecin,blockOfFlats,62.2,4.0,3.0,3.0,53.4491873,14.5015442,4.87,11.0,0.222,0.827,0.115,0.589,0.298,2.081,0.132,False,True,False,False,False,780000,85.0,0.115,2.183,0.06430868167202572
szczecin,blockOfFlats,122.5,5.0,4.0,4.0,53.437221,14.566691,1.58,17.0,0.287,0.793,0.408,0.118,0.161,0.937,0.129,True,True,False,False,False,940000,32.0,0.118,1.896,0.04081632653061224
szczecin,blockOfFlats,67.0,3.0,8.0,10.0,53.455554,14.561176,3.58,15.0,0.428,0.255,0.193,0.389,0.054,1.392,0.192,False,True,True,False,False,619000,37.0,0.054,1.5110000000000001,0.04477611940298507
szczecin,blockOfFlats,44.0,3.0,3.0,4.0,53.444085,14.502211,4.52,6.0,0.451,0.329,0.251,0.445,0.156,1.902,0.181,False,False,False,False,True,449000,94.0,0.156,1.8130000000000002,0.06818181818181818
szczecin,blockOfFlats,46.7,2.0,8.0,10.0,53.43087678,14.55465317,0.93,63.0,0.041,0.436,0.174,0.131,0.073,0.494,0.05,False,True,True,False,True,429000,57.0,0.041,0.905,0.042826552462526764
szczecin,blockOfFlats,62.2,3.0,10.0,11.0,53.432131,14.50304,3.96,7.0,0.201,1.128,0.384,0.508,0.432,1.943,0.436,True,True,True,False,True,599000,47.0,0.201,3.089,0.04823151125401929
szczecin,blockOfFlats,43.07,2.0,1.0,3.0,53.4250411,14.5515636,0.65,52.0,0.252,0.226,0.093,0.105,0.102,0.722,0.053,False,False,False,False,True,469000,54.0,0.053,0.831,0.046436034362665427
szczecin,apartmentBuilding,63.0,3.0,3.0,5.0,53.4196764,14.5600333,0.42,21.0,0.504,0.688,0.382,0.568,0.386,1.081,0.162,True,True,True,False,True,890000,0.0,0.162,2.69,0.047619047619047616
szczecin,unknown,47.58,2.0,3.0,3.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,False,False,False,False,True,429000,45.0,0.068,1.2389999999999999,0.042034468263976464
szczecin,unknown,35.4,2.0,2.0,3.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,False,True,False,False,False,460000,1.0,0.067,4.428,0.05649717514124294
szczecin,tenement,74.86,4.0,3.0,4.0,53.4348359,14.5488644,1.5,51.0,0.101,0.107,0.154,0.159,0.048,0.537,0.271,False,False,False,False,True,549000,124.0,0.048,0.8400000000000001,0.053433075073470476
szczecin,unknown,61.5,4.0,1.0,12.0,53.455075,14.5474,3.64,4.0,0.71,0.951,0.238,0.193,0.532,1.797,0.122,False,False,True,False,False,685000,39.0,0.122,2.746,0.06504065040650407
szczecin,blockOfFlats,38.0,2.0,3.0,10.0,53.399444,14.526111,3.53,8.0,0.109,1.004,0.153,0.178,0.166,2.296,0.141,False,False,True,False,False,379000,56.0,0.109,1.751,0.05263157894736842
szczecin,tenement,78.6,3.0,2.0,4.0,53.4198383,14.5504582,0.8,16.0,0.26,0.183,0.152,0.486,0.215,1.16,0.222,False,False,False,False,True,475000,95.0,0.152,1.518,0.03816793893129771
szczecin,unknown,89.34,3.0,3.0,3.0,53.43264761,14.53673601,1.91,49.0,0.13,0.402,0.154,0.327,0.142,0.335,0.275,False,True,False,False,False,599000,94.0,0.13,1.4300000000000002,0.0335795836131632
